userId,lang_count,counts_details,counts_pictures,counts_kisses,whazzup_len,cluster_4,cluster_5
5214f8531a0ba0e7439c28f3,1,0.88,8,149,61,2,0
52165ee1c66da15139639019,1,0.69,2,211,44,0,0
52166148c56da1ad230a1645,2,0.96,9,143,24,2,0
52170760c86da1be4cc57f4a,1,0.92,7,123,45,2,0
521b8a5d190ba07865175c87,7,0.85,6,303,86,0,3
521bea4cc46da1a817814db7,4,0.42,5,491,56,1,3
521ce9a5170ba0662f756967,1,0.38,9,1004,80,1,1
521f78061a0ba0191f91a7af,4,1.0,3,844,90,1,1
52237020150ba0173c149a28,2,0.23,2,55,20,2,2
5225ce6ac46da1b22e8a2d67,1,0.31,10,447,15,0,3
52262f01140ba08521d89d6a,1,0.62,4,321,90,0,3
522c69fdc76da18114c7b62e,1,0.54,4,139,2,2,0
522ccdb51c0ba08069976e16,2,0.0,2,98,0,2,2
522ded1cc66da12422fb5a39,1,0.85,10,656,91,1,1
522f44edc56da11815644495,2,0.77,8,170,0,0,0
52343940180ba0a44828526c,1,0.81,1,263,2,0,0
52358db31c0ba00242420d17,1,0.81,3,1680,25,3,4
5235b472c86da1df322245f6,1,0.31,6,268,3,0,0
5235c824150ba0f00a7de174,1,0.69,11,115,11,2,0
5236143e150ba0a03569f9c8,1,0.73,9,223,14,0,0
52370c4f1c0ba0a424906bb6,1,0.27,6,6,0,2,2
523b79b7c66da1873975c900,1,0.38,5,190,2,0,0
5240d063180ba0c50e263f11,1,0.31,2,334,70,0,3
52414666170ba0e10700b03a,1,0.42,3,914,0,1,1
5242ec81160ba0f934d47abd,1,0.54,5,1428,0,3,4
524360f81b0ba0be1c130346,1,0.92,4,115,0,2,0
5243ff17140ba0fb63d13256,1,0.92,1,52,0,2,2
52448ca6140ba02230bc3812,1,0.35,3,20,15,2,2
52449d1c1b0ba07b5a5ae8df,1,0.88,4,53,3,2,2
52473743160ba06a4d07dd56,3,0.77,4,643,0,1,1
52483ef11b0ba0b241b00bb5,1,0.58,4,5,0,2,2
524ea15ac56da1201041da53,1,0.69,2,1564,0,3,4
524fb230170ba0966612e515,1,0.92,6,57,36,2,2
5251b4a5170ba0c142d2f9d0,1,0.88,3,1045,21,3,1
5255734d180ba07b4abfdcdc,2,0.77,9,1068,46,3,1
5256efbd170ba0e76f1dea48,1,0.65,4,666,17,1,1
52570153160ba06b1acf28fb,1,0.88,8,1046,19,3,1
525d44a7180ba0237a9acec2,1,0.65,8,945,4,1,1
52614d04160ba07363a629c6,1,0.69,5,40,0,2,2
5262c5061a0ba0f278b45efb,1,0.88,8,851,66,1,1
5263a275140ba02143e3570b,1,0.69,8,314,28,0,3
526413b61c0ba0f874653667,1,0.81,2,121,0,2,0
5264273c190ba06d62f42698,1,0.96,7,608,2,1,3
52652128140ba06b11a31973,1,0.96,11,1188,3,3,4
5267a6fc1a0ba0bb6241f14f,1,0.81,5,106,19,2,2
526a6914180ba0c85db1cb38,1,1.0,9,104,0,2,2
526ae78b190ba066750e09a2,1,0.35,5,152,39,2,0
526d6c9e1b0ba02c5d186378,3,0.77,4,245,0,0,0
527193b8170ba04a52425ac7,1,1.0,0,217,2,0,0
